,label,class0 id,class0 name,class1 id,class1 name,keyword,sentence
0,1,2,계절,0,계절,하루 사이에 노랗게 변한 은행잎들,비가 그치고 하루 사이에 노랗게 변한 은행잎들을 너무나 예뻐서 하나둘 모아 책갈피를 만드는 가을입니다.늦가을이 남기는 정취 마음껏 누리시고 행복한 주말 보내세요.
1,1,2,계절,0,계절,너무 일찍 피어난 노란 개나리들,"따뜻한 봄 햇살만 믿고서 너무 일찍 피어난 노란 개나리들이 꽃샘 추위에 떠는 모습이 불쌍해 보이는 3월입니다.추운 봄날, 두툼하게 입고 따뜻하게 보내세요."
2,1,2,계절,0,계절,아름다웠던 연인과의 추억,"이렇게 꽃잎이 떨어지는 늦봄이 되면 예전에 아름다웠던 연인과의 추억이 생각나 한참을 멍하니 상념에 사로잡히네요.아름다운 봄날, 아름다운 사랑하세요."
3,1,2,계절,0,계절,오래 전 읽던 책 사이에 껴져 있는 낙엽,오래 전 읽던 책을 들춰보니 책 사이에 껴져 있는 낙엽이 지난 추억을 떠올리게 하는 오후입니다.가을 햇볕이 좋은 오늘 책 한 권 읽는 시간 어떠신가요?좋은 하루 되십시오.
4,1,2,계절,0,계절,가을이 오면 꼭 가리라고 생각했던 곳,가을이 오면 꼭 가리라고 생각했던 곳이 겨울이 다가오니 이제야 생각나네요.늘 그렇듯이 마음만 앞서가는 것 같습니다.올 겨울은 서두르지 않고 관조하는 시간을 가져볼까 합니다.안녕히 계세요.
5,1,2,계절,0,계절,부는 바람에 여유롭게 흔들리는 가로수들,"여름날의 그 뜨거운 햇볕을 다 견디고 이제는 부는 바람에 여유롭게 흔들리는 가로수들이 가을을 손짓하는 듯 합니다.아침 저녁으로 선선한 바람이 불어오는 가을, 즐겁게 맞이하세요."
6,1,2,계절,0,계절,갑자기 내린 폭설의 교통대란,갑자기 내린 폭설에 오늘 하루 종일 여기저기서 교통대란이네요.먼길 떠나시는데 조심 또 조심하시기 바랍니다.
7,1,2,계절,0,계절,휴가 때 다녀온 동해 바다,휴가 때 다녀온 동해 바다는 그야말로 물반 사람반이었습니다.그래도 이렇게 더운 날이 계속 되니 다시 가고 싶은 그리움이 밀려오네요.더운 날 건강하십시오.
8,1,2,계절,0,계절,먼 산 위에 하얗게 쌓인 눈,먼 산 위에 하얗게 쌓인 눈이 겨울 내내 보이더니 오늘 아침엔 문득 눈이 더 이상 보이질 않네요.봄은 점점 다가오나 봅니다.기분 좋은 주말 보내십시오.
9,1,2,계절,0,계절,연일 계속되는 불볕 더위,올 여름은 그리 덥지 않다고 하더니 연일 계속되는 불볕 더위에 지칠대로 지쳐가네요.보양식이라도 드시고 건강하게 여름 나시길 바랍니다.
10,1,2,계절,0,계절,땀 때문에 끈적끈적한 불쾌감이 지속되는 더운 여름날,땀 때문에 끈적끈적한 불쾌감이 하루종일 지속되는 더운 여름날입니다.시원한 수박이라도 드시면서 여름 더위 물리치시기 바랍니다.
11,1,2,계절,0,계절,공원 벤치에 앉아 석양을 바라보는 가을 저녁,"퇴근 후 공원 벤치에 앉아 오랜만에 여유를 누리며 석양을 바라보는 가을 저녁을 보내고 왔습니다.○○○님도 즐기는 가을, 행복한 가을 만들어가세요."
